"period"	"subject"	"perc_stock"	"condition"
1	"le1"	0	"Shock experience"
2	"le1"	0.51002493765586	"Shock experience"
3	"le1"	0.739965625315944	"Shock experience"
4	"le1"	0.849960254372019	"Shock experience"
5	"le1"	0.28998652896273	"Shock experience"
6	"le1"	0.199982388164847	"Shock experience"
7	"le1"	0.609962573516307	"Shock experience"
8	"le1"	0.25002026096118	"Shock experience"
9	"le1"	0.749979513234451	"Shock experience"
10	"le1"	0.139976375295309	"Shock experience"
11	"le1"	0.509987250318742	"Shock experience"
12	"le1"	0.899991466848707	"Shock experience"
13	"le1"	0.900025700334104	"Shock experience"
14	"le1"	0.899983372131693	"Shock experience"
15	"le1"	1	"Shock experience"
16	"le1"	0.120031449288023	"Shock experience"
17	"le1"	0.5	"Shock experience"
18	"le1"	0.670008873114463	"Shock experience"
19	"le1"	0.750020638982911	"Shock experience"
20	"le1"	0.569964694738655	"Shock experience"
21	"le1"	0.249978179279043	"Shock experience"
22	"le1"	0.249978479814066	"Shock experience"
23	"le1"	0.49001124275707	"Shock experience"
24	"le1"	0.539978582902017	"Shock experience"
25	"le1"	0.780031058737554	"Shock experience"
26	"le1"	0.269989808209024	"Shock experience"
27	"le1"	0.980019120458891	"Shock experience"
28	"le1"	0.980009004952724	"Shock experience"
29	"le1"	0.979973185855539	"Shock experience"
30	"le1"	0.979966611018364	"Shock experience"
31	"le1"	0.979989559770315	"Shock experience"
32	"le1"	0.980025828669824	"Shock experience"
33	"le1"	0.979959239130435	"Shock experience"
34	"le1"	0.979986256656932	"Shock experience"
35	"le1"	0.980010567101092	"Shock experience"
36	"le1"	0	"Shock experience"
37	"le1"	0	"Shock experience"
38	"le1"	1	"Shock experience"
39	"le1"	0	"Shock experience"
40	"le1"	0	"Shock experience"
41	"le1"	0	"Shock experience"
42	"le1"	0.490017720023627	"Shock experience"
43	"le1"	0.249969032577728	"Shock experience"
44	"le1"	0.769946643504157	"Shock experience"
45	"le1"	0.410003695946778	"Shock experience"
46	"le1"	0.68999751799454	"Shock experience"
47	"le1"	1	"Shock experience"
48	"le1"	0.5	"Shock experience"
49	"le1"	0.729993275050437	"Shock experience"
50	"le1"	0.559991226146085	"Shock experience"
51	"le1"	0.490014187493179	"Shock experience"
52	"le1"	0.200044853106078	"Shock experience"
53	"le1"	0.839982318488231	"Shock experience"
54	"le1"	0.579984754437548	"Shock experience"
55	"le1"	0.85002094679514	"Shock experience"
56	"le1"	0.629997949559155	"Shock experience"
57	"le1"	0.77002997002997	"Shock experience"
58	"le1"	0.35	"Shock experience"
59	"le1"	0.579951298701299	"Shock experience"
60	"le1"	0.330020491803279	"Shock experience"
61	"le1"	0.4	"Shock experience"
62	"le1"	0.339991804958	"Shock experience"
63	"le1"	0.179973352464897	"Shock experience"
64	"le1"	0.140018343014369	"Shock experience"
65	"le1"	0.11	"Shock experience"
66	"le1"	0.390038160273147	"Shock experience"
67	"le1"	0	"Shock experience"
68	"le1"	0.269956744003146	"Shock experience"
69	"le1"	0.37001953125	"Shock experience"
